"","ensembl_gene_id","hgnc_symbol"
"389","ENSG00000201746","RNU6-828P"
"390","ENSG00000054523","KIF1B"
"391","ENSG00000264881",""
"392","ENSG00000199562","RNU6-37P"
"393","ENSG00000264501","RN7SL731P"
"394","ENSG00000284735",""
"395","ENSG00000284642",""
"396","ENSG00000142657","PGD"
"397","ENSG00000271989",""
"398","ENSG00000251503","CENPS-CORT"
"399","ENSG00000175279","CENPS"
"400","ENSG00000241563","CORT"
"401","ENSG00000160049","DFFA"
"402","ENSG00000203469",""
"403","ENSG00000142655","PEX14"
"404","ENSG00000287727",""
"405","ENSG00000243267","RN7SL614P"
"406","ENSG00000130940","CASZ1"
"407","ENSG00000272078",""
"408","ENSG00000225158","HSPE1P24"
"409","ENSG00000175262","C1orf127"
"410","ENSG00000215785","CFL1P6"
"411","ENSG00000120948","TARDBP"
"412","ENSG00000277726",""
"413","ENSG00000009724","MASP2"
"414","ENSG00000271895",""
"415","ENSG00000116649","SRM"
"416","ENSG00000171824","EXOSC10"
"417","ENSG00000226849",""
"418","ENSG00000230337","EXOSC10-AS1"
"419","ENSG00000198793","MTOR"
"420","ENSG00000225602","MTOR-AS1"
"421","ENSG00000253086","RNU6-537P"
"422","ENSG00000171819","ANGPTL7"
"423","ENSG00000207451","RNU6-291P"
"424","ENSG00000238173","RPL39P6"
"425","ENSG00000120942","UBIAD1"
"426","ENSG00000238199","UBE2V2P3"
"427","ENSG00000284646",""
"428","ENSG00000224338","MTCYBP45"
"429","ENSG00000204624","DISP3"
"430","ENSG00000285833",""
"431","ENSG00000235643","LINC01647"
"432","ENSG00000284708",""
"433","ENSG00000116661","FBXO2"
"434","ENSG00000132879","FBXO44"
"435","ENSG00000116663","FBXO6"
"436","ENSG00000116670","MAD2L2"
"437","ENSG00000162490","DRAXIN"
"438","ENSG00000177674","AGTRAP"
"439","ENSG00000215910","C1orf167"
"440","ENSG00000177553","C1orf167-AS1"
"441","ENSG00000177000","MTHFR"
"442","ENSG00000011021","CLCN6"
"443","ENSG00000276470",""
"444","ENSG00000278852",""
"445","ENSG00000175206","NPPA"
"446","ENSG00000275915",""
"447","ENSG00000120937","NPPB"
"448","ENSG00000224904","SBF1P2"
"449","ENSG00000285646",""
"450","ENSG00000199347","RNU5E-1"
"451","ENSG00000201801","RNU5E-4P"
"452","ENSG00000116685","KIAA2013"
"453","ENSG00000083444","PLOD1"
"454","ENSG00000287384",""
"455","ENSG00000116688","MFN2"
"456","ENSG00000270914",""
"457","ENSG00000116691","MIIP"
"458","ENSG00000202461",""
"459","ENSG00000276869","MIR6729"
"460","ENSG00000243539","RN7SL649P"
"461","ENSG00000120949","TNFRSF8"
"462","ENSG00000201135","RNU6-777P"
"463","ENSG00000227875","RPL23AP89"
"464","ENSG00000285604",""
"465","ENSG00000283789","MIR7846"
"466","ENSG00000028137","TNFRSF1B"
"467","ENSG00000263676","MIR4632"
"468","ENSG00000225196","RPL10P17"
"469","ENSG00000252969",""
"470","ENSG00000048707","VPS13D"
"471","ENSG00000239149","SNORA59A"
"472","ENSG00000229484","LINC02766"
"473","ENSG00000162496","DHRS3"
"474","ENSG00000221340","RNU6ATAC18P"
"475","ENSG00000276830","MIR6730"
"476","ENSG00000272482",""
"477","ENSG00000204518","AADACL4"
"478","ENSG00000226166",""
"479","ENSG00000188984","AADACL3"
"480","ENSG00000157330","C1orf158"
"481","ENSG00000116726","PRAMEF12"
"482","ENSG00000116721","PRAMEF1"
"483","ENSG00000228338","LINC01784"
"484","ENSG00000239810","PRAMEF11"
"485","ENSG00000231103","PRAMEF30P"
"486","ENSG00000179172","HNRNPCL1"
"487","ENSG00000120952","PRAMEF2"
"488","ENSG00000243073","PRAMEF4"
"489","ENSG00000187545","PRAMEF10"
"490","ENSG00000204510","PRAMEF7"
"491","ENSG00000207434","RNU6-1072P"
"492","ENSG00000234064","PRAMEF29P"
"493","ENSG00000232423","PRAMEF6"
"494","ENSG00000274178","PRAMEF28P"
"495","ENSG00000274764","PRAMEF27"
"496","ENSG00000277058","HNRNPCL3"
"497","ENSG00000229571","PRAMEF25"
"498","ENSG00000277862","PRAMEF34P"
"499","ENSG00000236179","PRAMEF35P"
"500","ENSG00000275774","HNRNPCL2"
"501","ENSG00000229978","PRAMEF36P"
"502","ENSG00000233336",""
"503","ENSG00000280267","PRAMEF26"
"504","ENSG00000179412","HNRNPCL4"
"505","ENSG00000204505","PRAMEF9"
"506","ENSG00000279169","PRAMEF13"
"507","ENSG00000279804","PRAMEF18"
"508","ENSG00000250894","PRAMEF31P"
"509","ENSG00000270601","PRAMEF5"
"510","ENSG00000231219","PRAMEF32P"
"511","ENSG00000207511","RNU6-771P"
"512","ENSG00000182330","PRAMEF8"
"513","ENSG00000237700","PRAMEF33"
"514","ENSG00000204501","PRAMEF15"
"515","ENSG00000228229",""
"516","ENSG00000204481","PRAMEF14"
"517","ENSG00000204480","PRAMEF19"
"518","ENSG00000204479","PRAMEF17"
"519","ENSG00000204478","PRAMEF20"
"520","ENSG00000162494","LRRC38"
"521","ENSG00000259961",""
"522","ENSG00000215909","BRWD1P1"
"523","ENSG00000162493","PDPN"
"524","ENSG00000222952","RNA5SP41"
"525","ENSG00000237445",""
"526","ENSG00000253085",""
"527","ENSG00000116731","PRDM2"
"528","ENSG00000189337","KAZN"
"529","ENSG00000252151","RNU6-1265P"
"530","ENSG00000231606",""
"531","ENSG00000234593","KAZN-AS1"
"532","ENSG00000235829","TBCAP2"
"533","ENSG00000287756",""
"534","ENSG00000175147","TMEM51-AS1"
"535","ENSG00000171729","TMEM51"
"536","ENSG00000204464","C1orf195"
"537","ENSG00000215720","MFFP1"
"538","ENSG00000278480","ZBTB2P1"
"539","ENSG00000142621","FHAD1"
"540","ENSG00000233485","FHAD1-AS1"
"541","ENSG00000236045",""
"542","ENSG00000228140",""
"543","ENSG00000142634","EFHD2"
"544","ENSG00000162438","CTRC"
"545","ENSG00000142615","CELA2A"
"546","ENSG00000215704","CELA2B"
"547","ENSG00000132906","CASP9"
"548","ENSG00000116138","DNAJC16"
"549","ENSG00000251866","SCARNA21B"
"550","ENSG00000272510",""
"551","ENSG00000116771","AGMAT"
"552","ENSG00000237301",""
"553","ENSG00000235084","CHCHD2P6"
"554","ENSG00000252417","RNU7-179P"
"555","ENSG00000236500","CD24P1"
"556","ENSG00000197312","DDI2"
"557","ENSG00000215695","RSC1A1"
"558","ENSG00000271742",""
"559","ENSG00000116786","PLEKHM2"
"560","ENSG00000237938",""
"561","ENSG00000162461","SLC25A34"
"562","ENSG00000224459","SLC25A34-AS1"
"563","ENSG00000162460","TMEM82"
"564","ENSG00000162458","FBLIM1"
"565","ENSG00000224321","RPL12P14"
"566","ENSG00000233954","UQCRHL"
"567","ENSG00000178715",""
"568","ENSG00000179743",""
"569","ENSG00000065526","SPEN"
"570","ENSG00000270620",""
"571","ENSG00000116809","ZBTB17"
"572","ENSG00000234607",""
"573","ENSG00000231353",""
"574","ENSG00000275503",""
"575","ENSG00000224966","TBC1D3P6"
"576","ENSG00000183888","SRARP"
"577","ENSG00000233078",""
"578","ENSG00000173641","HSPB7"
"579","ENSG00000186510","CLCNKA"
"580","ENSG00000232456",""
"581","ENSG00000184908","CLCNKB"
"582","ENSG00000185519","FAM131C"
"583","ENSG00000142627","EPHA2"
"584","ENSG00000227959",""
"585","ENSG00000224621",""
"586","ENSG00000234166","ARHGEF19-AS1"
"587","ENSG00000142632","ARHGEF19"
"588","ENSG00000237276","ANO7L1"
"589","ENSG00000288398",""
"590","ENSG00000132881","CPLANE2"
"591","ENSG00000233929","MT1XP1"
"592","ENSG00000037637","FBXO42"
"593","ENSG00000055070","SZRD1"
"594","ENSG00000226457","RPL22P3"
"595","ENSG00000187144","SPATA21"
"596","ENSG00000157191","NECAP2"
"597","ENSG00000226029","LINC01772"
"598","ENSG00000080947","CROCCP3"
"599","ENSG00000206652","RNU1-1"
"600","ENSG00000261135",""
"601","ENSG00000285853",""
"602","ENSG00000224174",""
"603","ENSG00000233421","LINC01783"
"604","ENSG00000277344","RNU1-6P"
"605","ENSG00000225710",""
"606","ENSG00000219481","NBPF1"
"607","ENSG00000271732",""
"608","ENSG00000215908","CROCCP2"
"609","ENSG00000283773",""
"610","ENSG00000186301","MST1P2"
"611","ENSG00000282143",""
