"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*H441_SUB -1*SALI"
"ENSG00000262815","",-0.607557856347961,-0.0023388938430274,0.337692665950982,0.561164096288367,0.784163901687967,0
"ENSG00000104689","TNFRSF10A",0.129755557658829,4.71915918265344,0.337311066193564,0.561385452895477,0.784393806525953,0
"ENSG00000164163","ABCE1",-0.199371129870774,6.85495895776655,0.337161544597564,0.561472232346546,0.784435646406218,0
"ENSG00000200421","",-0.47289344897068,-0.151853423244079,0.336918644456382,0.561613261770296,0.784536971707777,0
"ENSG00000213985","",-0.348242875477648,0.342520826404501,0.336811227846017,0.561675650237491,0.784536971707777,0
"ENSG00000259349","",0.431829366556919,0.117101611496895,0.336743000192843,0.561715284336781,0.784536971707777,0
"ENSG00000006114",NA,0.121464431110121,6.39932688205933,0.336601455328525,0.561797526228919,0.784572443287619,0
"ENSG00000033327","GAB2",-0.203557733438596,6.63731553290538,0.336372765111193,0.561930451084503,0.78465402457368,0
"ENSG00000079335","CDC14A",0.275289772103917,1.96773002477862,0.33630535478742,0.561969644465355,0.78465402457368,0
"ENSG00000122390","NAA60",0.248930677432873,1.21702298195279,0.335846184678672,0.562236752639742,0.784794292651051,0
"ENSG00000164077","MON1A",-0.146096735727849,4.34458188882993,0.335839424012558,0.562240687272395,0.784794292651051,0
"ENSG00000228327","",-0.32928550083731,0.302057064799204,0.335858239415778,0.562229737047783,0.784794292651051,0
"ENSG00000162542","TMCO4",0.128855054157685,5.59541803911166,0.335678258954921,0.5623344992136,0.784845864915169,0
"ENSG00000090238","YPEL3",-0.175057303550488,6.02996574085522,0.335265886217325,0.562574672674712,0.785022306365016,0
"ENSG00000132388","UBE2G1",-0.210262763048789,5.83484867859014,0.335352380618271,0.562524280405292,0.785022306365016,0
"ENSG00000205143","ARID3C",0.282347015299183,0.00430811155269172,0.335044609117055,0.562703629845254,0.785122876983846,0
"ENSG00000171848","RRM2",0.232612616756722,7.10719593568419,0.334944932042976,0.562761738810854,0.785124584965876,0
"ENSG00000101290","CDS2",-0.152594507639727,5.07957543587163,0.334370740731281,0.563096701325004,0.785274393421007,0
"ENSG00000115761","NOL10",-0.115494883577364,5.47363093220821,0.334401107222518,0.563078977000008,0.785274393421007,0
"ENSG00000146648","EGFR",0.213029405563983,5.83687935484043,0.334556125856821,0.562988512395658,0.785274393421007,0
"ENSG00000184271","POU6F1",0.177341287002869,3.88580076861201,0.334424722743902,0.563065193825913,0.785274393421007,0
"ENSG00000179818","PCBP1-AS1",0.176574684060547,5.80707865517171,0.334179379811491,0.563208419652726,0.785350839366229,0
"ENSG00000224046","",-0.254019315371339,0.33197594038227,0.334011590522049,0.563306411758137,0.785408131638126,0
"ENSG00000135334","AKIRIN2",-0.194788507967189,6.07258083342604,0.333374661849891,0.563678689229832,0.785530418896419,0
"ENSG00000156011","PSD3",0.141184716216372,5.65283440719024,0.333422604724021,0.563650650674622,0.785530418896419,0
"ENSG00000165233","CARD19",0.139431487835704,4.92130099392922,0.333494747959088,0.56360846402487,0.785530418896419,0
"ENSG00000215492","HNRNPA1P7",0.207682389003104,1.44178733683797,0.333613131748944,0.5635392508212,0.785530418896419,0
"ENSG00000236756","DNAJC9-AS1",0.397586213909709,0.323217869275359,0.333619269901178,0.563535662590832,0.785530418896419,0
"ENSG00000125841","NRSN2",0.135434348854321,5.14074843661976,0.333164923113218,0.56380138289183,0.78562207841222,0
"ENSG00000263053",NA,0.296022598885056,0.0143672985506612,0.332444803239625,0.56422303322967,0.786130254859267,0
"ENSG00000099901","RANBP1",-0.150282922196035,7.13305169655518,0.331883395618647,0.564552175419912,0.786509450403313,0
"ENSG00000125149","C16orf70",0.137851848604534,4.95748079227473,0.331484361463104,0.564786346759733,0.786645685131141,0
"ENSG00000198887","SMC5",-0.138256894811234,5.79028925442727,0.331425425240782,0.564820949112419,0.786645685131141,0
"ENSG00000239672","NME1",-0.163778891243587,6.13499033912042,0.331617921359037,0.564707946868296,0.786645685131141,0
"ENSG00000164520","RAET1E",0.257097418826824,1.1118774047998,0.331244226093327,0.564927359551399,0.786714500709153,0
"ENSG00000130304","SLC27A1",0.190654985414155,6.38061618300146,0.331017113077987,0.56506078795264,0.786820923660446,0
"ENSG00000183840","GPR39",0.187526187229559,3.50162346417431,0.330791848605045,0.565193190535747,0.786925896880297,0
"ENSG00000002549","LAP3",-0.236951481092343,5.56780271751476,0.330596549395096,0.565308029148335,0.787006396843384,0
"ENSG00000205560","CPT1B",0.265257173041746,1.81524802034084,0.330136414212401,0.56557877348507,0.787303906368223,0
"ENSG00000160710","ADAR",-0.16061943121551,7.4729619533002,0.329795841267696,0.56577932886387,0.787503660445657,0
"ENSG00000009830","POMT2",-0.13030079517066,5.52285539726901,0.32949696066026,0.56595544609189,0.787633535697247,0
"ENSG00000111229","ARPC3",-0.139430311374235,8.64031565470348,0.329347024039297,0.566043837167149,0.787633535697247,0
"ENSG00000157014","TATDN2",-0.145340362923454,4.58994393494281,0.329438332256192,0.565990005696212,0.787633535697247,0
"ENSG00000159692","CTBP1",-0.11545996327084,8.4425506893941,0.329243542084113,0.566104857753446,0.787639036967043,0
"ENSG00000170759","KIF5B",-0.122635731431959,8.68174339520266,0.328840910431019,0.566342400392163,0.787890112913279,0
"ENSG00000225171","DUTP6",0.287515975139677,1.32645516407924,0.328369045314954,0.56662103511721,0.788198299404126,0
"ENSG00000158161","EYA3",0.141423114083076,5.58533561243364,0.328091387592879,0.566785115352027,0.78826765035154,0
"ENSG00000166147","FBN1",0.229111313884402,0.968825750092275,0.328097346073406,0.566781593254182,0.78826765035154,0
"ENSG00000166068","SPRED1",0.208064316899945,6.04805176992202,0.327913024957891,0.566890566374211,0.788334871244016,0
"ENSG00000250988","SNHG21",0.232096099836418,1.35277145457891,0.327702809868631,0.567014898012176,0.788353463369163,0
"ENSG00000263843","",-0.262900305388399,1.88940449369593,0.327697272984537,0.567018173515844,0.788353463369163,0
"ENSG00000143153","ATP1B1",-0.229820784681719,8.85411481699627,0.327306508807112,0.567249434194542,0.788595557086329,0
"ENSG00000127124","HIVEP3",0.201102820768747,2.18760309176265,0.326712641069552,0.56760124598723,0.788957133100424,0
"ENSG00000224858","RPL29P11",-0.211182658007485,2.47988813119457,0.326674514974293,0.567623846666223,0.788957133100424,0
"ENSG00000256087","ZNF432",0.226998665054622,4.76996389503131,0.326517557748428,0.567716907406057,0.789007024067908,0
"ENSG00000179111","HES7",-0.252301070138256,1.87568030597711,0.326209400786603,0.56789970158367,0.78918160302636,0
"ENSG00000115170","ACVR1",0.247382015831983,5.1985103935107,0.325707483010543,0.568197677106364,0.789307725975687,0
"ENSG00000151746","BICD1",-0.16494954799586,3.24133376517109,0.32577279093173,0.56815888827305,0.789307725975687,0
"ENSG00000228283","KATNBL1P6",-0.319357412093961,0.404748601881468,0.325872948491373,0.568099410940586,0.789307725975687,0
"ENSG00000249839","",-0.412336326425282,0.385212836110857,0.325671228766904,0.568219212092047,0.789307725975687,0
"ENSG00000181915","ADO",-0.210158643065162,4.43144569117904,0.325444804865818,0.568353743634149,0.789415152424124,0
"ENSG00000269985","",0.445977281624623,0.480182603685013,0.325121217182414,0.568546113510761,0.789602883746782,0
"ENSG00000121741","ZMYM2",0.156421265972323,6.88838357020461,0.324637054993332,0.568834180474189,0.789909398932188,0
"ENSG00000215908","CROCCP2",0.146269880995172,6.10120459321013,0.324557939103357,0.568881279914936,0.789909398932188,0
