"","ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*KO_SALI -1*SALI"
"1284","ENSG00000096060","FKBP5",-0.411060632014393,8.89519684514469,0.230398603268398,0.63122842758337,0.997540545774586,0
"1287","ENSG00000096093","EFHC1",0.129476544341105,5.70247761526836,0.350239817242448,0.553977406740428,0.997540545774586,0
"1290","ENSG00000096696","DSP",0.108833070951497,7.44191069674069,0.105708931636002,0.745083365778717,0.997540545774586,0
"1295","ENSG00000097021","ACOT7",-0.293056744979863,4.89280057483605,0.728621231265379,0.393330466471079,0.997540545774586,0
"1296","ENSG00000097033","SH3GLB1",-0.247090059158883,6.84928890080032,0.39861658678398,0.527804575175253,0.997540545774586,0
"1297","ENSG00000097096","SYDE2",0.118679918316216,3.34372729533293,0.129775874826153,0.718664532793895,0.997540545774586,0
"1300","ENSG00000099219","ERMP1",-0.323634735575389,5.95117662079683,0.713982391897353,0.398124915978072,0.997540545774586,0
"1301","ENSG00000099250","NRP1",-0.135896164775727,5.05216961885603,0.127967144661874,0.72054915461036,0.997540545774586,0
"1303","ENSG00000099260","PALMD",0.122971888094405,0.875606288741026,0.0380402510403961,0.845362336960424,0.997540545774586,0
"1304","ENSG00000099290","WASHC2A",-0.205969610520897,4.38293448535023,0.298386789376359,0.584895530773255,0.997540545774586,0
"1305","ENSG00000099308","MAST3",-0.0768646252674361,4.67646712485942,0.107655796845819,0.742828925620603,0.997540545774586,0
"1307","ENSG00000099331","MYO9B",-0.137498909264097,6.44660003638501,0.392176748879585,0.531157423756665,0.997540545774586,0
"1313","ENSG00000099377","HSD3B7",0.0732881419000634,5.74347463265904,0.0846808238640815,0.771051550967462,0.997540545774586,0
"1315","ENSG00000099385","BCL7C",-0.0868586934139453,6.26162047119181,0.0521319853599138,0.819394135803548,0.997540545774586,0
"1317","ENSG00000099622","CIRBP",0.151555738646835,9.05428949509155,0.200328807283739,0.654455573069332,0.997540545774586,0
"1318","ENSG00000099625","CBARP",-0.149502394682447,2.77813311805726,0.22746444505124,0.633410311063897,0.997540545774586,0
"1319","ENSG00000099769","IGFALS",0.302019572833239,0.388237506623766,0.247985802802127,0.618496919988551,0.997540545774586,0
"1320","ENSG00000099783","HNRNPM",0.0941339065128952,7.91436431672039,0.127898719776908,0.720620744663657,0.997540545774586,0
"1327","ENSG00000099814","CEP170B",-0.0910987889025492,7.43515828920092,0.157053208315858,0.691884175510689,0.997540545774586,0
"1330","ENSG00000099840","IZUMO4",0.115120087666193,5.87409757215613,0.0706221066870398,0.790433138125642,0.997540545774586,0
"1333","ENSG00000099866","MADCAM1",0.178867654873993,1.75779511176712,0.137682429198495,0.710595948582745,0.997540545774586,0
